SGID	FeatureType	FeatureQualifier	FeatureName	common_name	parent_name	SGID2	chr	start	end
S000000043	ORF	Dubious	YAL045C		chromosome 1		1	57796	57488
S000030576	CDS				YAL045C		1	57796	57488
S000000042	ORF	Verified	YAL044C	GCV3	chromosome 1	L000003501	1	58462	57950
S000037751	CDS				YAL044C		1	58462	57950
S000000041	ORF	Verified	YAL043C	PTA1	chromosome 1	L000001522	1	61052	58695
S000037691	CDS				YAL043C		1	61052	58695
S000000040	ORF	Verified	YAL042W	ERV46	chromosome 1	L000000633	1	61316	62563
S000037669	CDS				YAL042W		1	61316	62563
S000002138	ORF	Dubious	YAL042C-A		chromosome 1		1	61608	61231
S000030422	CDS				YAL042C-A		1	61608	61231
S000000039	ORF	Verified	YAL041W	CDC24	chromosome 1	L000000262	1	62840	65404
S000037599	CDS				YAL041W		1	62840	65404
S000000038	ORF	Verified	YAL040C	CLN3	chromosome 1	L000000359	1	67520	65778
S000036825	CDS				YAL040C		1	67520	65778
S000000037	ORF	Verified	YAL039C	CYC3	chromosome 1	L000000450	1	69525	68716
S000035956	CDS				YAL039C		1	69525	68716
S000118318	ARS		ARS106		chromosome 1		1	70300	70469
S000178035	ARS_consensus_sequence				ARS106		1	70434	70418
S000000036	ORF	Verified	YAL038W	CDC19	chromosome 1	L000000258	1	71786	73288
S000035915	CDS				YAL038W		1	71786	73288
S000028592	ORF	Dubious	YAL037C-B		chromosome 1		1	73300	72326
S000031366	CDS				YAL037C-B		1	73300	72326
S000028732	ORF	Uncharacterized	YAL037C-A		chromosome 1		1	73518	73426
S000033376	CDS				YAL037C-A		1	73518	73426
S000000035	ORF	Uncharacterized	YAL037W		chromosome 1		1	74020	74823
S000035798	CDS				YAL037W		1	74020	74823
S000000034	ORF	Verified	YAL036C	RBG1	chromosome 1	L000000634	1	76152	75043
S000034719	CDS				YAL036C		1	76152	75043
S000000033	ORF	Verified	YAL035W	FUN12	chromosome 1	L000000635	1	76427	79435
S000034678	CDS				YAL035W		1	76427	79435
S000000032	ORF	Verified	YAL034W-A	MTW1	chromosome 1	S000007418	1	79718	80587
S000031836	CDS				YAL034W-A		1	79718	80587
S000002137	ORF	Dubious	YAL034C-B		chromosome 1		1	79842	79489
S000031374	CDS				YAL034C-B		1	79842	79489
S000002134	ORF	Verified	YAL034C	FUN19	chromosome 1	L000000637	1	81951	80710
S000034508	CDS				YAL034C		1	81951	80710
S000000031	ORF	Verified	YAL033W	POP5	chromosome 1	L000004301|L000000649	1	82706	83227
S000034465	CDS				YAL033W		1	82706	83227
S000000030	ORF	Verified	YAL032C	PRP45	chromosome 1	L000000638	1	84474	83335
S000033541	CDS				YAL032C		1	84474	83335
S000028731	ORF	Dubious	YAL031W-A		chromosome 1		1	84669	84977
S000033375	CDS				YAL031W-A		1	84669	84977
S000000029	ORF	Verified	YAL031C	GIP4	chromosome 1	L000000639	1	87031	84749
S000033476	CDS				YAL031C		1	87031	84749
S000000028	ORF	Verified	YAL030W	SNC1	chromosome 1	L000001942	1	87286	87752
S000033437	CDS				YAL030W		1	87286	87387
S000033438	CDS				YAL030W		1	87501	87752
S000033439	intron				YAL030W		1	87388	87500
S000000027	ORF	Verified	YAL029C	MYO4	chromosome 1	L000000640|L000001224	1	92270	87855
S000033821	CDS				YAL029C		1	92270	87855
S000000026	ORF	Verified	YAL028W	FRT2	chromosome 1		1	92900	94486
S000033747	CDS				YAL028W		1	92900	94486
S000000025	ORF	Verified	YAL027W	SAW1	chromosome 1		1	94687	95472
S000033629	CDS				YAL027W		1	94687	95472
S000028730	ORF	Dubious	YAL026C-A		chromosome 1		1	95823	95386
S000033374	CDS				YAL026C-A		1	95823	95386
S000119380	ncRNA_gene		HRA1	HRA1	chromosome 1		1	99305	99868
S000120654	noncoding_exon				HRA1		1	99305	99868
S000000024	ORF	Verified	YAL026C	DRS2	chromosome 1	L000000526	1	99697	95630
S000030197	CDS				YAL026C		1	99697	95630
S000000023	ORF	Verified	YAL025C	MAK16	chromosome 1	L000000989	1	101145	100225
S000030064	CDS				YAL025C		1	101145	100225
S000000022	ORF	Verified	YAL024C	LTE1	chromosome 1	L000000955	1	105872	101565
S000029981	CDS				YAL024C		1	105872	101565
S000000021	ORF	Verified	YAL023C	PMT2	chromosome 1	L000000642|L000001459	1	108551	106272
S000037355	CDS				YAL023C		1	108551	106272
S000000020	ORF	Verified	YAL022C	FUN26	chromosome 1	L000000643	1	110430	108877
S000037286	CDS				YAL022C		1	110430	108877
S000000019	ORF	Verified	YAL021C	CCR4	chromosome 1	L000000239	1	113359	110846
S000037200	CDS				YAL021C		1	113359	110846
S000028729	ORF	Dubious	YAL019W-A		chromosome 1		1	114250	114819
S000032720	CDS				YAL019W-A		1	114250	114819
S000000018	ORF	Verified	YAL020C	ATS1	chromosome 1	L000000644|L000000154	1	114615	113614
S000037124	CDS				YAL020C		1	114615	113614
S000000017	ORF	Verified	YAL019W	FUN30	chromosome 1	L000000645	1	114919	118314
S000037555	CDS				YAL019W		1	114919	118314
S000000016	ORF	Verified	YAL018C	LDS1	chromosome 1		1	119541	118564
S000032033	CDS				YAL018C		1	119541	118564
S000000015	ORF	Verified	YAL017W	PSK1	chromosome 1	L000000646	1	120225	124295
S000031992	CDS				YAL017W		1	120225	124295
S000118319	ARS		ARS107		chromosome 1		1	124349	124597
S000178036	ARS_consensus_sequence				ARS107		1	124479	124463
S000028528	ORF	Dubious	YAL016C-B		chromosome 1		1	124492	124307
S000030333	CDS				YAL016C-B		1	124492	124307
S000000014	ORF	Verified	YAL016W	TPD3	chromosome 1	L000002325	1	124879	126786
S000031874	CDS				YAL016W		1	124879	126786
S000028728	ORF	Dubious	YAL016C-A		chromosome 1		1	125069	124755
S000032719	CDS				YAL016C-A		1	125069	124755
S000000013	ORF	Verified	YAL015C	NTG1	chromosome 1	L000004114	1	128102	126903
S000036247	CDS				YAL015C		1	128102	126903
S000000012	ORF	Verified	YAL014C	SYN8	chromosome 1		1	129019	128252
S000036146	CDS				YAL014C		1	129019	128252
S000000011	ORF	Verified	YAL013W	DEP1	chromosome 1	L000000502	1	129270	130487
S000036100	CDS				YAL013W		1	129270	130487
S000000010	ORF	Verified	YAL012W	CYS3	chromosome 1	L000000470	1	130799	131983
S000035250	CDS				YAL012W		1	130799	131983
S000000009	ORF	Verified	YAL011W	SWC3	chromosome 1		1	132199	134076
S000035116	CDS				YAL011W		1	132199	134076
S000000008	ORF	Verified	YAL010C	MDM10	chromosome 1	L000000648|L000001053	1	135665	134184
S000034958	CDS				YAL010C		1	135665	134184
S000000007	ORF	Verified	YAL009W	SPO7	chromosome 1	L000002000	1	135854	136633
S000034070	CDS				YAL009W		1	135854	136633
S000000006	ORF	Verified	YAL008W	FUN14	chromosome 1	L000000636	1	136914	137510
S000033957	CDS				YAL008W		1	136914	137510
S000000005	ORF	Verified	YAL007C	ERP2	chromosome 1	L000004679	1	138345	137698
S000033112	CDS				YAL007C		1	138345	137698
S000006786	long_terminal_repeat		YALCdelta2		chromosome 1		1	138992	138831
S000006680	tRNA_gene		tP(UGG)A	TRN1	chromosome 1	L000003601	1	139152	139254
S000035969	intron				tP(UGG)A		1	139188	139218
S000035967	noncoding_exon				tP(UGG)A		1	139152	139187
S000035968	noncoding_exon				tP(UGG)A		1	139219	139254
S000002136	ORF	Dubious	YAL004W		chromosome 1		1	140760	141407
S000032057	CDS				YAL004W		1	140760	141407
S000000004	ORF	Verified	YAL005C	SSA1	chromosome 1	L000002069	1	141431	139503
S000032096	CDS				YAL005C		1	141431	139503
S000000003	ORF	Verified	YAL003W	EFB1	chromosome 1	L000000542	1	142174	143160
S000031941	CDS				YAL003W		1	142174	142253
S000031942	CDS				YAL003W		1	142620	143160
S000031943	intron				YAL003W		1	142254	142619
S000007500	snoRNA_gene		snR18	SNR18	chromosome 1		1	142367	142468
S000036595	noncoding_exon				snR18		1	142367	142468
S000000002	ORF	Verified	YAL002W	VPS8	chromosome 1	L000003013	1	143707	147531
S000031737	CDS				YAL002W		1	143707	147531
S000121255	ARS		ARS108		chromosome 1		1	147398	147717
S000000001	ORF	Verified	YAL001C	TFC3	chromosome 1	L000000641|L000002287	1	151166	147594
S000030735	CDS				YAL001C		1	151006	147594
S000030734	CDS				YAL001C		1	151166	151097
S000030736	intron				YAL001C		1	151096	151007
S000006463	centromere		CEN1	CEN1	chromosome 1	L000000294	1	151465	151582
S000077257	centromere_DNA_Element_I				CEN1		1	151465	151474
S000077258	centromere_DNA_Element_II				CEN1		1	151475	151557
S000077259	centromere_DNA_Element_III				CEN1		1	151558	151582
S000000063	ORF	Verified	YAR002W	NUP60	chromosome 1		1	152257	153876
S000035473	CDS				YAR002W		1	152257	153876
S000002129	ORF	Verified	YAR002C-A	ERP1	chromosome 1	L000004678	1	154724	154065
S000032940	CDS				YAR002C-A		1	154724	154065
S000000064	ORF	Verified	YAR003W	SWD1	chromosome 1		1	155005	156285
S000035547	CDS				YAR003W		1	155005	156285
S000000065	ORF	Verified	YAR007C	RFA1	chromosome 1	L000000204|L000001620	1	158619	156754
S000036676	CDS				YAR007C		1	158619	156754
S000000066	ORF	Verified	YAR008W	SEN34	chromosome 1	L000003973	1	158966	159793
S000037450	CDS				YAR008W		1	158966	159793
S000077372	ARS		ARS109	ARS101	chromosome 1		1	159907	160127
S000121251	ARS_consensus_sequence				ARS109		1	159945	159935
S000118986	ARS_consensus_sequence				ARS109		1	159952	159966
S000006788	long_terminal_repeat		YARCdelta3		chromosome 1		1	160237	160105
S000006789	long_terminal_repeat		YARCdelta4		chromosome 1		1	160574	160238
S000000067	transposable_element_gene		YAR009C		chromosome 1		1	164187	160597
S000037508	CDS				YAR009C		1	164187	160597
S000000068	transposable_element_gene		YAR010C		chromosome 1		1	165866	164544
S000030210	CDS				YAR010C		1	165866	164544
S000006792	LTR_retrotransposon		YARCTy1-1		chromosome 1		1	166162	160238
S000006790	long_terminal_repeat		YARCdelta5		chromosome 1		1	166162	165826
S000006521	tRNA_gene		tA(UGC)A	TGA1	chromosome 1	L000003602|S000029601|L000002292	1	166267	166339
S000034842	noncoding_exon				tA(UGC)A		1	166267	166339
S000000069	ORF	Verified	YAR014C	BUD14	chromosome 1		1	168871	166742
S000031457	CDS				YAR014C		1	168871	166742
S000000070	ORF	Verified	YAR015W	ADE1	chromosome 1	L000000031	1	169375	170295
S000031548	CDS				YAR015W		1	169375	170295
S000000071	ORF	Verified	YAR018C	KIN3	chromosome 1	L000000903	1	171703	170396
S000032711	CDS				YAR018C		1	171703	170396
S000028735	ORF	Dubious	YAR019W-A		chromosome 1		1	174998	175330
S000033379	CDS				YAR019W-A		1	174998	175330
S000000072	ORF	Verified	YAR019C	CDC15	chromosome 1	L000000255	1	175135	172211
S000032794	CDS				YAR019C		1	175135	172211
S000114488	ARS		ARS110	ARS110	chromosome 1		1	176157	176404
S000178037	ARS_consensus_sequence				ARS110		1	176232	176248
S000000073	ORF	Verified	YAR020C	PAU7	chromosome 1		1	177023	176856
S000034578	CDS				YAR020C		1	177023	176856
S000000074	ORF	Uncharacterized	YAR023C		chromosome 1		1	179820	179281
S000035643	CDS				YAR023C		1	179820	179281
S000006636	tRNA_gene		tL(CAA)A	SUP56	chromosome 1	L000003603	1	181141	181254
S000033745	intron				tL(CAA)A		1	181179	181210
S000033743	noncoding_exon				tL(CAA)A		1	181141	181178
S000033744	noncoding_exon				tL(CAA)A		1	181211	181254
S000006719	tRNA_gene		tS(AGA)A		chromosome 1	L000003604	1	182603	182522
S000032337	noncoding_exon				tS(AGA)A		1	182603	182522
S000006795	long_terminal_repeat		YARWsigma1		chromosome 1		1	182620	182959
S000006793	long_terminal_repeat		YARWdelta6		chromosome 1		1	183142	183474
S000000075	ORF	Verified	YAR027W	UIP3	chromosome 1		1	183770	184477
S000036855	CDS				YAR027W		1	183770	184477
S000000076	ORF	Uncharacterized	YAR028W		chromosome 1		1	184892	185596
S000036899	CDS				YAR028W		1	184892	185596
S000000077	ORF	Uncharacterized	YAR029W		chromosome 1		1	186321	186545
S000036967	CDS				YAR029W		1	186321	186545
S000000078	ORF	Verified	YAR031W	PRM9	chromosome 1		1	186836	187732
S000030609	CDS				YAR031W		1	186836	187732
S000001821	ORF	Dubious	YAR030C		chromosome 1		1	186853	186512
S000036694	CDS				YAR030C		1	186853	186512
S000000079	ORF	Verified	YAR033W	MST28	chromosome 1		1	188107	188811
S000030819	CDS				YAR033W		1	188107	188811
S000006794	long_terminal_repeat		YARWdelta7		chromosome 1		1	189426	189757
S000000080	ORF	Verified	YAR035W	YAT1	chromosome 1	L000002497	1	190193	192256
S000031976	CDS				YAR035W		1	190193	192256
S000028595	ORF	Uncharacterized	YAR035C-A		chromosome 1		1	192417	192337
S000031375	CDS				YAR035C-A		1	192417	192337
S000000081	ORF	Verified	YAR042W	SWH1	chromosome 1	L000002249	1	192619	196185
S000035065	CDS				YAR042W		1	192619	196185
S000000083	ORF	Dubious	YAR047C		chromosome 1		1	201787	201467
S000031684	CDS				YAR047C		1	201787	201467
S000000084	ORF	Verified	YAR050W	FLO1	chromosome 1	L000000617|L000000616	1	203403	208016
S000036444	CDS				YAR050W		1	203403	208016
S000000085	ORF	Dubious	YAR053W		chromosome 1		1	208367	208663
S000037285	CDS				YAR053W		1	208367	208663
S000006791	long_terminal_repeat		YARCdelta8		chromosome 1		1	209778	209448
S000121256	ARS		ARS111		chromosome 1		1	214888	215644
S000178038	ARS_consensus_sequence				ARS111		1	215028	215012
S000000086	ORF	Dubious	YAR060C		chromosome 1		1	217492	217157
S000032661	CDS				YAR060C		1	217492	217157
S000000087	pseudogene		YAR061W		chromosome 1		1	218140	219145
S000033393	CDS				YAR061W		1	218140	219145
S000000089	ORF	Uncharacterized	YAR064W		chromosome 1		1	220198	220497
S000033577	CDS				YAR064W		1	220198	220497
S000002144	ORF	Uncharacterized	YAR066W		chromosome 1		1	221049	221660
S000034603	CDS				YAR066W		1	221049	221660
S000000091	ORF	Uncharacterized	YAR068W		chromosome 1		1	222406	222891
S000035691	CDS				YAR068W		1	222406	222891
S000121257	ARS		ARS112		chromosome 1		1	222880	224046
S000000092	ORF	Dubious	YAR069C		chromosome 1		1	224304	224011
S000035758	CDS				YAR069C		1	224304	224011
S000000093	ORF	Dubious	YAR070C		chromosome 1		1	224862	224563
S000036733	CDS				YAR070C		1	224862	224563
S000000094	ORF	Verified	YAR071W	PHO11	chromosome 1	L000001423	1	225460	226863
S000036824	CDS				YAR071W		1	225460	226863
S000000095	ORF	Dubious	YAR073W	IMD1	chromosome 1		1	227742	228953
S000037618	CDS				YAR073W		1	227742	228953
S000002145	ORF	Dubious	YAR075W		chromosome 1		1	228844	229317
S000037740	CDS				YAR075W		1	228844	229317
S000028937	telomere		TEL01R		chromosome 1		1	229411	230218
S000028938	telomeric_repeat				TEL01R		1	230121	230218
S000028939	X_element				TEL01R		1	229411	229871
S000028438	ARS		ARS1001		chromosome 10		10	65	577
S000028665	ORF	Dubious	YJL225W-A		chromosome 10		10	829	1311
S000032490	CDS				YJL225W-A		10	829	1311
S000003760	ORF	Uncharacterized	YJL225C		chromosome 10		10	6130	466
S000033322	CDS				YJL225C		10	4581	466
S000033321	CDS				YJL225C		10	6130	4970
S000033323	intron				YJL225C		10	4969	4582
S000028439	ARS		ARS1002		chromosome 10		10	7445	7943
S000028901	telomere		TEL10L		chromosome 10		10	7767	1
S000028902	telomeric_repeat				TEL10L		10	60	1
S000028903	X_element				TEL10L		10	7767	7305
S000028904	X_element_combinatorial_repeat				TEL10L		10	7304	6932
S000028905	Y_prime_element				TEL10L		10	6931	61
S000003759	ORF	Verified	YJL223C	PAU1	chromosome 10	L000001343	10	9138	8776
S000032445	CDS				YJL223C		10	9138	8776
S000028664	ORF	Dubious	YJL222W-B		chromosome 10		10	9346	9483
S000032489	CDS				YJL222W-B		10	9346	9483
S000028663	ORF	Dubious	YJL222W-A		chromosome 10		10	9452	9679
S000032488	CDS				YJL222W-A		10	9452	9679
S000003758	ORF	Verified	YJL222W	VTH2	chromosome 10		10	11475	16124
S000032381	CDS				YJL222W		10	11475	16124
S000028440	ARS		ARS1003		chromosome 10		10	16124	16762
S000003756	ORF	Dubious	YJL220W		chromosome 10		10	18243	18695
S000032208	CDS				YJL220W		10	18243	18695
S000003757	ORF	Verified	YJL221C	IMA4	chromosome 10	L000002901	10	18536	16767
S000032237	CDS				YJL221C		10	18536	16767
S000003755	ORF	Verified	YJL219W	HXT9	chromosome 10	L000000843	10	19497	21200
S000031251	CDS				YJL219W		10	19497	21200
S000003754	ORF	Uncharacterized	YJL218W		chromosome 10		10	21973	22563
S000031119	CDS				YJL218W		10	21973	22563
S000003753	ORF	Verified	YJL217W	REE1	chromosome 10		10	23133	23729
S000030093	CDS				YJL217W		10	23133	23729
S000028441	ARS		ARS1004		chromosome 10		10	23662	24158
S000178121	ARS_consensus_sequence				ARS1004		10	23819	23835
S000003752	ORF	Verified	YJL216C	IMA5	chromosome 10		10	26086	24341
S000029921	CDS				YJL216C		10	26086	24341
S000003751	ORF	Dubious	YJL215C		chromosome 10		10	26771	26412
S000037269	CDS				YJL215C		10	26771	26412
S000003750	ORF	Verified	YJL214W	HXT8	chromosome 10	L000000842	10	26887	28596
S000037229	CDS				YJL214W		10	26887	28596
S000003749	ORF	Verified	YJL213W		chromosome 10		10	32163	33158
S000037130	CDS				YJL213W		10	32163	33158
S000003748	ORF	Verified	YJL212C	OPT1	chromosome 10		10	36249	33850
S000037000	CDS				YJL212C		10	36249	33850
S000003746	ORF	Verified	YJL210W	PEX2	chromosome 10	L000000422|L000003076	10	36919	37734
S000036292	CDS				YJL210W		10	36919	37734
S000003747	ORF	Dubious	YJL211C		chromosome 10		10	37200	36757
S000036326	CDS				YJL211C		10	37200	36757
S000003745	ORF	Verified	YJL209W	CBP1	chromosome 10	L000000224	10	38005	39969
S000034944	CDS				YJL209W		10	38005	39969
S000003744	ORF	Verified	YJL208C	NUC1	chromosome 10	L000001283	10	41183	40194
S000033945	CDS				YJL208C		10	41183	40194
S000003743	ORF	Verified	YJL207C	LAA1	chromosome 10		10	47433	41389
S000033803	CDS				YJL207C		10	47433	41389
S000003741	ORF	Uncharacterized	YJL206C		chromosome 10		10	49935	47659
S000033077	CDS				YJL206C		10	49935	47659
S000003742	ORF	Verified	YJL205C	NCE101	chromosome 10	L000003097	10	50443	50139
S000034430	CDS				YJL205C		10	50268	50139
S000034429	CDS				YJL205C		10	50443	50412
S000034431	intron				YJL205C		10	50411	50269
S000003740	ORF	Verified	YJL204C	RCY1	chromosome 10		10	53151	50629
S000032878	CDS				YJL204C		10	53151	50629
S000003739	ORF	Verified	YJL203W	PRP21	chromosome 10	L000001507	10	53341	54183
S000032839	CDS				YJL203W		10	53341	54183
S000003738	ORF	Dubious	YJL202C		chromosome 10		10	54290	53943
S000031876	CDS				YJL202C		10	54290	53943
S000003737	ORF	Verified	YJL201W	ECM25	chromosome 10	L000003897	10	54379	56178
S000031819	CDS				YJL201W		10	54379	56178
S000003736	ORF	Verified	YJL200C	ACO2	chromosome 10		10	58813	56444
S000031641	CDS				YJL200C		10	58813	56444
S000006743	tRNA_gene		tT(AGU)J		chromosome 10	L000003628	10	59172	59100
S000032173	noncoding_exon				tT(AGU)J		10	59172	59100
S000007027	long_terminal_repeat		YJLWdelta1		chromosome 10		10	59505	59784
S000003735	ORF	Uncharacterized	YJL199C	MBB1	chromosome 10		10	60182	59856
S000035098	CDS				YJL199C		10	60182	59856
S000003734	ORF	Verified	YJL198W	PHO90	chromosome 10		10	60844	63489
S000034201	CDS				YJL198W		10	60844	63489
S000003733	ORF	Verified	YJL197W	UBP12	chromosome 10	L000003033	10	63805	67569
S000034104	CDS				YJL197W		10	63805	67569
S000028839	ORF	Dubious	YJL197C-A		chromosome 10		10	66086	65805
S000034494	CDS				YJL197C-A		10	66086	65805
S000028442	ARS		ARS1005		chromosome 10		10	67663	67736
S000003732	ORF	Verified	YJL196C	ELO1	chromosome 10	L000003442	10	68782	67850
S000033953	CDS				YJL196C		10	68782	67850
S000003730	ORF	Verified	YJL194W	CDC6	chromosome 10	L000000246	10	69338	70879
S000033118	CDS				YJL194W		10	69338	70879
S000003731	ORF	Dubious	YJL195C		chromosome 10		10	69942	69241
S000033155	CDS				YJL195C		10	69942	69241
S000003729	ORF	Uncharacterized	YJL193W		chromosome 10		10	71366	72574
S000033028	CDS				YJL193W		10	71366	72574
S000003728	ORF	Verified	YJL192C	SOP4	chromosome 10		10	73414	72710
S000032055	CDS				YJL192C		10	73414	72710
S000003727	ORF	Verified	YJL191W	RPS14B	chromosome 10	L000000424	10	73787	74611
S000032004	CDS				YJL191W		10	73787	73796
S000032005	CDS				YJL191W		10	74205	74611
S000032006	intron				YJL191W		10	73797	74204
S000003726	ORF	Verified	YJL190C	RPS22A	chromosome 10	L000003150|L000001760	10	75302	74910
S000031736	CDS				YJL190C		10	75302	74910
S000003725	ORF	Verified	YJL189W	RPL39	chromosome 10	L000001737	10	75933	76474
S000030844	CDS				YJL189W		10	75933	75938
S000030845	CDS				YJL189W		10	76325	76474
S000030846	intron				YJL189W		10	75939	76324
S000003724	ORF	Dubious	YJL188C	BUD19	chromosome 10		10	76510	76202
S000037873	CDS				YJL188C		10	76510	76202
S000003723	ORF	Verified	YJL187C	SWE1	chromosome 10	L000002248	10	79262	76803
S000037770	CDS				YJL187C		10	79262	76803
S000003722	ORF	Verified	YJL186W	MNN5	chromosome 10	L000004918	10	80155	81915
S000037744	CDS				YJL186W		10	80155	81915
S000003721	ORF	Verified	YJL185C	ATG36	chromosome 10		10	82976	82095
S000036951	CDS				YJL185C		10	82976	82095
S000003720	ORF	Verified	YJL184W	GON7	chromosome 10		10	83448	83819
S000036918	CDS				YJL184W		10	83448	83819
S000003719	ORF	Verified	YJL183W	MNN11	chromosome 10	L000004260	10	84068	85336
S000036862	CDS				YJL183W		10	84068	85336
S000003717	ORF	Uncharacterized	YJL181W	RBH1	chromosome 10		10	85660	87495
S000035872	CDS				YJL181W		10	85660	87495
S000003718	ORF	Dubious	YJL182C		chromosome 10		10	85752	85435
S000035944	CDS				YJL182C		10	85752	85435
S000003716	ORF	Verified	YJL180C	ATP12	chromosome 10	L000000149	10	88560	87583
S000035717	CDS				YJL180C		10	88560	87583
S000003715	ORF	Verified	YJL179W	PFD1	chromosome 10	L000004367	10	88787	89116
S000034696	CDS				YJL179W		10	88787	89116
S000003714	ORF	Verified	YJL178C	ATG27	chromosome 10		10	90097	89282
S000033739	CDS				YJL178C		10	90097	89282
S000003713	ORF	Verified	YJL177W	RPL17B	chromosome 10	L000004457	10	90786	91657
S000033683	CDS				YJL177W		10	90786	91094
S000033684	CDS				YJL177W		10	91412	91657
S000033685	intron				YJL177W		10	91095	91411
S000003711	ORF	Dubious	YJL175W		chromosome 10		10	94049	94561
S000033497	CDS				YJL175W		10	94049	94561
S000003712	ORF	Verified	YJL176C	SWI3	chromosome 10	L000002251	10	94530	92053
S000033535	CDS				YJL176C		10	94530	92053
S000003710	ORF	Verified	YJL174W	KRE9	chromosome 10	L000000916	10	95092	95922
S000032753	CDS				YJL174W		10	95092	95922
S000003709	ORF	Verified	YJL173C	RFA3	chromosome 10	L000001622	10	96529	96161
S000032609	CDS				YJL173C		10	96529	96161
